49.789487,9.932922,8/2/2021,8:34:39.0,20,32,35,0,8.83,38.72,977.67
49.789496,9.932957,8/2/2021,8:34:40.0,20,32,35,0,8.83,38.72,977.69
49.789496,9.932957,8/2/2021,8:34:40.0,20,35,39,0,8.83,38.73,977.67
49.789496,9.932957,8/2/2021,8:34:40.0,20,35,39,0,8.83,38.74,977.73
49.789496,9.932957,8/2/2021,8:34:40.0,20,35,39,0,8.83,38.74,977.72
49.789496,9.932957,8/2/2021,8:34:40.0,20,35,39,0,8.83,38.75,977.64
49.789496,9.932957,8/2/2021,8:34:40.0,20,35,39,0,8.83,38.75,977.63
49.789496,9.932957,8/2/2021,8:34:40.0,20,35,39,0,8.83,38.78,977.67
49.789506,9.932994,8/2/2021,8:34:41.0,20,35,39,0,8.83,38.78,977.66
49.789506,9.932994,8/2/2021,8:34:41.0,20,35,40,0,8.83,38.79,977.67
49.789506,9.932994,8/2/2021,8:34:41.0,20,35,40,0,8.84,38.79,977.66
49.789506,9.932994,8/2/2021,8:34:41.0,20,35,40,0,8.84,38.80,977.66
49.789506,9.932994,8/2/2021,8:34:41.0,20,35,40,0,8.84,38.80,977.67
49.789506,9.932994,8/2/2021,8:34:41.0,20,35,40,0,8.85,38.81,977.64
49.789506,9.932994,8/2/2021,8:34:41.0,20,35,40,0,8.85,38.82,977.64
49.789516,9.933030,8/2/2021,8:34:41.0,21,35,40,0,8.85,38.80,977.65
49.789516,9.933030,8/2/2021,8:34:41.0,21,35,40,0,8.86,38.84,977.68
49.789516,9.933030,8/2/2021,8:34:41.0,21,35,40,0,8.86,38.84,977.64
49.789516,9.933030,8/2/2021,8:34:41.0,21,35,40,0,8.86,38.84,977.64
49.789516,9.933030,8/2/2021,8:34:41.0,21,35,40,0,8.86,38.85,977.65
49.789516,9.933030,8/2/2021,8:34:41.0,21,35,40,0,8.87,38.85,977.64
49.789516,9.933030,8/2/2021,8:34:41.0,22,36,41,0,8.87,38.85,977.63
49.789526,9.933068,8/2/2021,8:34:42.0,22,36,41,0,8.87,38.88,977.67
49.789526,9.933068,8/2/2021,8:34:42.0,22,36,41,0,8.88,38.88,977.66
49.789526,9.933068,8/2/2021,8:34:42.0,22,36,41,0,8.88,38.91,977.66
49.789526,9.933068,8/2/2021,8:34:42.0,22,36,41,0,8.88,38.92,977.68
49.789526,9.933068,8/2/2021,8:34:42.0,22,36,41,0,8.89,38.94,977.63
49.789526,9.933068,8/2/2021,8:34:42.0,-1,-1,-1,0,8.90,38.96,977.67
49.789526,9.933068,8/2/2021,8:34:42.0,21,37,42,0,8.90,38.99,977.68
49.789536,9.933104,8/2/2021,8:34:43.0,21,37,42,0,8.91,39.00,977.70
